DATE,PLATFORM,METRIC,VALUE,PREVIOUS VALUE,% CHANGE,SOURCE,NOTES
2026-09-12,Spotify,Monthly Listeners,19.7K,,,Spotify,Baseline
2026-09-12,Spotify,Followers,N/A — not publicly available,,,Spotify,Baseline
2026-09-12,Spotify,Top Track 1,child of an immigrant,,,Spotify,Stream Count: 148349
2026-09-12,Spotify,Top Track 2,worry,,,Spotify,Stream Count: 107629
2026-09-12,Spotify,Top Track 3,pourin champagne for my lost ones ,,,Spotify,Stream Count: 113210
2026-09-12,Spotify,Top Track 4,sin city ,,,Spotify,Stream Count: 42577
2026-09-12,Spotify,Top Track 5,triggered ,,,Spotify,Stream Count: 23530
2026-09-12,YouTube,Subscribers ,4.4k,,,YouTube,Baseline
2026-09-12,YouTube,Total Channel Views ,N/A — not publicly available,,,YouTube,Baseline
2026-09-12,TikTok,Followers ,5.2K,,,TikTok,Baseline
2026-09-12,TikTok,Total Likes,122.6K,,,TikTok,Baseline
2026-09-12,TikTok,Post 1 Views,16.3K,,,TikTok,Recent Post 
2026-09-12,TikTok,Post 1 Likes,3.6K,,,TikTok,Recent Post 
2026-09-12,TikTok,Post 1 Comments,97,,,TikTok,Recent Post 
2026-09-12,TikTok,Post 1 Shares ,240,,,TikTok,Recent Post 
2026-09-12,TikTok,Post 2 Views,26.8K,,,TikTok,Recent Post 
2026-09-12,TikTok,Post 2 Likes,5.9K,,,TikTok,Recent Post 
2026-09-12,TikTok,Post 2 Comments,130,,,TikTok,Recent Post 
2026-09-12,TikTok,Post 2 Shares,345,,,TikTok,Recent Post 
2026-09-12,TikTok,Post 3 Views,10.5K,,,TikTok,Recent Post 
2026-09-12,TikTok,Post 3 Likes,2K,,,TikTok,Recent Post 
2026-09-12,TikTok,Post 3 Comments,35,,,TikTok,Recent Post 
2026-09-12,TikTok,Post 3 Shares,75,,,TikTok,Recent Post 
2026-09-12,TikTok,Post 4 Views,36.2K,,,TikTok,Recent Post 
2026-09-12,TikTok,Post 4 Likes,7.1K,,,TikTok,Recent Post 
2026-09-12,TikTok,Post 4 Comments,137,,,TikTok,Recent Post 
2026-09-12,TikTok,Post 4 Shares ,466,,,TikTok,Recent Post 
2026-09-12,TikTok,Post 5 Views,22.7K,,,TikTok,Recent Post 
2026-09-12,TikTok,Post 5 Likes,3.9K,,,TikTok,Recent Post 
2026-09-12,TikTok,Post 5 Comments,79,,,TikTok,Recent Post 
2026-09-12,TikTok,Post 5 Shares ,217,,,TikTok,Recent Post 
2026-09-12,Instagram,Followers ,4.2K,,,Instagram,Baseline
2026-09-12,Instagram,Post 1 Likes,1.4K,,,Instagram,Reel
2026-09-12,Instagram,Post 1 Comments ,105,,,Instagram,Reel
2026-09-12,Instagram,Post 1 Views ,18.6K,,,Instagram,Reel
2026-09-12,Instagram,Post 2 Likes ,2.7K,,,Instagram,Reel
2026-09-12,Instagram,Post 2 Comments,106,,,Instagram,Reel
2026-09-12,Instagram,Post 2 Views ,34.7K,,,Instagram,Reel
2026-09-12,Instagram,Post 3 Likes,4.7K,,,Instagram,Reel
2026-09-12,Instagram,Post 3 Comments ,162,,,Instagram,Reel
2026-09-12,Instagram,Post 3 Views,52.5K,,,Instagram,Reel
2026-09-12,Instagram,Post 4 Likes,1K,,,Instagram,Recent Post 
2026-09-12,Instagram,Post 4 Comments,27,,,Instagram,Recent Post 
2026-09-12,Instagram,Post 4 Views,N/A — not publicly available,,,Instagram,Recent Post 
2026-09-12,Instagram,Post 5 Likes,1.3K,,,Instagram,Reel
2026-09-12,Instagram,Post 5 Comments,85,,,Instagram,Reel
2026-09-12,Instagram,Post 5 Views ,19.7K,,,Instagram,Reel
2026-09-19,,,,,,,
