PLATFORM,METRIC,BASELINE VALUE,BASELINE DATE,NOTES
Spotify,Monthly Listeners,19.7K,2026-09-12 00:00:00,Baseline
Spotify,Followers,,2026-09-12 00:00:00,Baseline
YouTube,Subscribers ,4.4K,2026-09-12 00:00:00,Baseline 
YouTube,Total Channel Views ,,2026-09-12 00:00:00,Baseline
TikTok,Followers,5.2K,2026-09-12 00:00:00,Baseline 
TikTok,Total Likes,122.6K,2026-09-12 00:00:00,Baseline 
Instagram,Followers ,4.2K,2026-09-12 00:00:00,Baseline
Overall,Platforms Tracked,4,2026-09-12 00:00:00,"Spotify, YouTube, TikTok, Instagram"
RESEARCH QUESTION,What data signals can indicate that an underground UK rapper is gaining momentum before they break into the mainstream?,,,
Key Concept,Momentum,Baseline Date,2026-09-12 00:00:00,
WEEKLY GROWTH TRACKING,,,,
DATE ,PLATFORM,METRIC,PREVIOUS VALUE,CURRENT VALUE
BASELINE: 12/09/2026,,,,
2026-09-19 00:00:00,,,,
2026-09-26 00:00:00,,,,
2026-10-03 00:00:00,,,,
2026-10-10 00:00:00,,,,
